Id,No Finding
7,-0.19116544723510742
8,-0.004220709204673767
9,-0.4897938072681427
10,-0.4838167726993561
42,0.2515818774700165
43,0.12330681085586548
46,-0.1705034375190735
47,-0.2750647962093353
89,-0.44883909821510315
90,-0.4357575476169586
91,-0.4417089521884918
92,-0.36240965127944946
96,-0.33616903424263
156,-0.4774392247200012
187,-0.49528276920318604
188,-0.4927540421485901
189,-0.47403401136398315
190,-0.4966520071029663
191,-0.49771997332572937
192,-0.49913880228996277
208,-0.0007425844669342041
209,0.158950537443161
264,0.10679195821285248
265,-0.07501392066478729
266,0.2704348564147949
279,-0.37240248918533325
280,-0.16780704259872437
281,-0.31458213925361633
301,-0.4841240644454956
302,-0.49026432633399963
303,-0.476215660572052
304,-0.47883036732673645
316,-0.44384127855300903
317,-0.45200514793395996
318,-0.3078612983226776
319,-0.4425264000892639
320,-0.47112980484962463
340,-0.174513578414917
341,0.14480352401733398
459,-0.06195420026779175
489,-0.16358470916748047
497,0.0511721670627594
498,0.18408842384815216
646,0.20412835478782654
647,0.227608323097229
698,-0.013484716415405273
699,-0.04878853261470795
700,0.03357185423374176
701,-0.1348554491996765
702,-0.041983336210250854
703,-0.3903243839740753
704,-0.09519888460636139
705,-0.3453651964664459
706,-0.03650654852390289
707,-0.28296902775764465
708,0.08824169635772705
709,-0.26570066809654236
760,-0.07668755948543549
761,0.083793044090271
762,-0.497223436832428
763,-0.49626049399375916
764,-0.4986291527748108
785,-0.40408241748809814
838,-0.21587374806404114
839,-0.16356147825717926
890,0.10069409012794495
891,0.14045286178588867
929,-0.08668084442615509
930,0.1757424771785736
935,-0.4871596693992615
936,-0.4776916205883026
938,-0.466162770986557
939,0.037010326981544495
940,0.21741116046905518
941,-0.47066864371299744
942,-0.34106355905532837
1006,-0.49540096521377563
1007,-0.4827350676059723
1008,-0.49553385376930237
1045,-0.4239581227302551
1046,-0.4631701111793518
1047,-0.3177753686904907
1048,-0.41973087191581726
1049,-0.14144515991210938
1124,-0.40173014998435974
1125,-0.4155272841453552
1126,-0.3866390585899353
1131,-0.025252535939216614
1139,-0.07010491192340851
1140,-0.021629199385643005
1141,-0.48710253834724426
1142,-0.4806970953941345
1143,-0.4921943247318268
1144,-0.49666643142700195
1145,-0.47098881006240845
1146,-0.48110389709472656
1147,-0.49599748849868774
1148,-0.496849000453949
1149,-0.47490471601486206
1150,-0.4950762093067169
